,Platform,Genre,Publisher,NA_Sales,Critic_Score,Critic_Count,User_Score,Year_of_Sales
513,PS3,Fighting,Warner Bros. Interactive Entertainment,1.98,84.0,60.0,8.4,5.0
514,X360,Sports,Electronic Arts,2.52,85.0,58.0,6.1,7.0
516,X360,Shooter,Take-Two Interactive,1.65,96.0,88.0,8.9,9.0
517,GC,Shooter,Nintendo,1.96,97.0,70.0,9.3,14.0
518,PS3,Action,Ubisoft,1.87,90.0,59.0,8.2,6.0
522,PS3,Shooter,Electronic Arts,1.28,75.0,56.0,7.5,6.0
529,PS4,Action,Sony Computer Entertainment,1.28,80.0,90.0,7.9,2.0
533,PS2,Sports,Electronic Arts,2.19,89.0,22.0,8.6,15.0
534,PS2,Platform,Sony Computer Entertainment,1.68,87.0,47.0,8.2,13.0
536,PS3,Racing,Electronic Arts,1.05,89.0,59.0,7.2,6.0
537,Wii,Action,Activision,1.35,81.0,11.0,5.6,5.0
538,PC,Shooter,Electronic Arts,0.89,89.0,61.0,7.5,5.0
